mpid,category,
mp-28500,2D,
mp-3402,2D,
mp-3037,2D,
mp-3516,2D,
mp-556389,2D,
mp-763352,2D,
mp-32433,2D,
mp-868579,2D,
mp-625405,2D,
mp-561475,2D,
mp-569662,2D,
mp-25620,2D,
mp-744747,2D,
mp-620190,2D,
mp-25142,2D,
mp-25146,2D,
mp-558329,2D,
mp-566762,2D,
mp-626872,2D,
mp-849227,2D,
mp-626120,2D,
mp-779199,2D,
mp-559911,2D,
mp-764020,2D,
mp-25720,2D,
mp-6462,2D,
mp-6543,2D,
mp-541267,2D,
mp-640883,2D,
mp-32450,2D,
mp-32497,2D,
mp-22877,2D,
mp-690526,2D,
mp-28117,2D,
mp-25118,2D,
mp-510733,2D,
mp-566253,2D,
mp-554799,2D,
mp-32449,2D,
mp-743869,2D,
mp-761301,2D,
mp-25057,2D,
mp-764315,2D,
mp-764309,2D,
mp-764312,2D,
mp-776707,2D,
mp-566304,2D,
mp-25119,2D,
mp-763482,2D,
mp-32532,2D,
mp-9561,2D,
mp-604914,2D,
mp-694,2D,
mp-19277,2D,
mp-11687,2D,
mp-566857,2D,
mp-774146,2D,
mp-32539,2D,
mp-765254,2D,
mp-680486,2D,
mp-29498,2D,
mp-224,2D,
mp-1821,2D,
mp-579614,2D,
mp-680189,2D,
mp-1334,2D,
mp-27678,2D,
mp-676315,2D,
mp-542271,2D,
mp-28580,2D,
mp-554852,2D,
mp-753727,2D,
mp-23382,2D,
mp-568046,2D,
mp-23440,2D,
mp-554027,2D,
mp-561015,2D,
mp-683904,2D,
mp-570418,2D,
mp-571006,2D,
mp-754815,2D,
mp-754031,2D,
mp-643367,2D,
mp-23062,2D,
mp-540884,2D,
mp-27455,2D,
mp-552120,2D,
mp-550306,2D,
mp-865203,2D,
mp-571210,2D,
mp-24656,2D,
mp-571442,2D,
mp-753712,2D,
mp-29509,2D,
mp-604315,2D,
mp-625487,2D,
mp-674328,2D,
mp-10326,2D,
mp-27656,2D,
mp-560806,2D,
mp-557746,2D,
mp-558350,2D,
mp-557130,2D,
mp-637614,2D,
mp-569960,2D,
mp-567279,2D,
mp-645541,2D,
mp-560161,2D,
mp-680388,2D,
mp-698366,2D,
mp-24591,2D,
mp-690650,2D,
mp-696291,2D,
mp-766515,2D,
mp-1392,2D,
mp-697451,2D,
mp-707311,2D,
mp-766204,2D,
mp-3342,2D,
mp-555214,2D,
mp-567019,2D,
mp-561591,2D,
mp-510456,2D,
mp-642803,2D,
mp-16765,2D,
mp-29357,2D,
mp-28344,2D,
mp-504594,2D,
mp-541912,2D,
mp-707940,2D,
mp-27440,2D,
mp-23162,2D,
mp-569391,2D,
mp-28208,2D,
mp-3208,2D,
mp-13542,2D,
mp-24508,2D,
mp-570506,2D,
mp-23052,2D,
mp-568592,2D,
mp-24030,2D,
mp-29232,2D,
mp-7310,2D,
mp-1186,2D,
mp-9921,2D,
mp-2076,2D,
mp-1683,2D,
mp-4628,2D,
mp-19917,2D,
mp-2089,2D,
mp-605,2D,
mp-570062,2D,
mp-8677,2D,
mp-861867,1D,
mp-703539,1D,
mp-556434,1D,
mp-24053,1D,
mp-769355,1D,
mp-5770,1D,
mp-540759,1D,
mp-605912,1D,
mp-560633,1D,
mp-568443,1D,
mp-541732,1D,
mp-28693,1D,
mp-31268,1D,
mp-643387,1D,
mp-27462,1D,
mp-9579,1D,
mp-28005,1D,
mp-758957,1D,
mp-608653,1D,
mp-561299,1D,
mp-19941,1D,
mp-637982,1D,
mp-505373,1D,
mp-570140,1D,
mp-30159,1D,
mp-942,1D,
mp-27199,1D,
mp-778385,1D,
mp-28661,1D,
mp-21653,1D,
mp-680181,1D,
mp-22856,1D,
mp-30097,1D,
mp-760758,1D,
mp-583234,1D,
mp-759848,1D,
mp-541772,1D,
mp-541771,1D,
mp-583499,1D,
mp-570417,1D,
mp-28149,1D,
mp-568758,1D,
mp-27743,1D,
mp-568388,1D,
mp-753160,1D,
mp-27133,1D,
mp-23324,1D,
mp-23318,1D,
mp-569707,1D,
mp-610491,1D,
mp-23020,1D,
mp-23514,1D,
mp-27724,1D,
mp-28460,1D,
mp-23297,1D,
mp-29526,1D,
mp-753806,1D,
mp-557926,1D,
mp-24509,1D,
mp-697033,1D,
mp-24307,1D,
mp-733848,1D,
mp-23493,1D,
mp-774233,1D,
mp-25475,1D,
mp-25491,1D,
mp-25492,1D,
mp-643913,1D,
mp-743783,1D,
mp-629319,1D,
mp-778446,1D,
mp-780501,1D,
mp-567624,1D,
mp-22857,1D,
mp-704123,1D,
mp-639662,1D,
mp-763306,1D,
mp-566001,1D,
mp-27215,1D,
mp-510421,1D,
mp-7302,1D,
mp-566402,1D,
mp-9130,1D,
mp-15236,1D,
mp-558341,1D,
mp-768223,1D,
mp-867730,1D,
mp-8759,1D,
mp-541385,1D,
mp-541037,1D,
mp-558794,1D,
mp-558199,1D,
mp-23219,1D,
mp-30999,1D,
mp-29279,1D,
mp-774723,1D,
mp-632759,1D,
mp-24362,1D,
mp-707170,1D,
mp-554724,1D,
mp-606617,1D,
mp-3199,1D,
mp-696152,1D,
mp-28714,1D,
mp-864982,1D,
mp-865005,1D,
mp-867891,1D,
mp-866003,1D,
mp-735662,1D,
mp-676241,1D,
mp-504883,1D,
mp-743926,1D,
mp-772432,1D,
mp-540639,1D,
mp-570553,1D,
mp-22369,1D,
mp-580999,1D,
mp-556117,1D,
mp-28608,1D,
mp-30150,1D,
mp-27735,1D,
mp-27218,1D,
mp-29500,1D,
mp-541610,1D,
mp-541785,1D,
mp-556130,1D,
mp-634812,1D,
mp-626865,1D,
mp-625112,1D,
mp-864915,1D,
mp-29422,1D,
mp-568002,1D,
mp-569059,1D,
mp-22147,1D,
mp-8725,1D,
mp-23407,1D,
mp-540925,1D,
mp-27994,1D,
mp-30937,1D,
mp-24294,1D,
mp-634,1D,
mp-605347,1D,
mp-542694,1D,
mp-23963,1D,
mp-676362,1D,
mp-29796,1D,
mp-864662,1D,
mp-864657,1D,
mp-765597,1D,
mp-27639,1D,
mp-567998,1D,
mp-752422,1D,
mp-558330,1D,
mp-616327,1D,
mp-22870,1D,
mp-571555,1D,
mp-862983,1D,
mp-20408,1D,
mp-23202,1D,
mp-754661,1D,
mp-21365,1D,
mp-505357,1D,
mp-20320,1D,
mp-23170,1D,
